Strompreis_2050_CO2frei;Erdgaspreis_2050;Oelpreis_2050;Biomassepreis_2050;Wasserstoffpreis_2050;Synthetische_Kraftstoffe_2050
136,5680286;20,34;28,49;25;74;120,22
138,3965755;20,34;28,49;25;74;120,22
137,8528249;20,34;28,49;25;74;120,22
131,4601859;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
0;20,34;28,49;25;74;120,22
92,4042084;20,34;28,49;25;74;120,22
86,82142599;20,34;28,49;25;74;120,22
96,83728495;20,34;28,49;25;74;120,22
105,6865758;20,34;28,49;25;74;120,22
124,5452004;20,34;28,49;25;74;120,22
135,9494614;20,34;28,49;25;74;120,22
150,4292154;20,34;28,49;25;74;120,22
