;Electricity_2045;CO2_2045;Oil_2045;Gas_2045;Biomass_2045;Hydrogen_2045;Synthetic_fuel_2045;Hard_coal_2045;Brown_coal_2045
313;130,0167;0,1516;26,2568;12,4369;35,6;100;190;10000000;10000000
314;130,5654;0,1516;26,2568;12,4369;35,6;100;190;10000000;10000000
315;130,6832;0,1516;26,2568;12,4369;35,6;100;190;10000000;10000000
316;130,6832;0,1516;26,2567;12,4369;35,6;100;190;10000000;10000000
317;130,5654;0,1516;26,2567;12,4369;35,6;100;190;10000000;10000000
318;130,6832;0,1516;26,2567;12,4369;35,6;100;190;10000000;10000000
319;130,6832;0,1516;26,2567;12,4369;35,6;100;190;10000000;10000000
320;130,6832;0,1516;26,2567;12,4369;35,6;100;190;10000000;10000000
321;133,605;0,1516;26,2567;12,437;35,6;100;190;10000000;10000000
322;133,605;0,1516;26,2566;12,437;35,6;100;190;10000000;10000000
323;130,5654;0,1516;26,2566;12,437;35,6;100;190;10000000;10000000
324;130,5654;0,1516;26,2566;12,437;35,6;100;190;10000000;10000000
325;130,5654;0,1516;26,2566;12,437;35,6;100;190;10000000;10000000
326;130,5654;0,1516;26,2566;12,437;35,6;100;190;10000000;10000000
327;130,5654;0,1516;26,2566;12,437;35,6;100;190;10000000;10000000
328;142,435;0,1516;26,2565;12,437;35,6;100;190;10000000;10000000
329;142,8742;0,1516;26,2565;12,437;35,6;100;190;10000000;10000000
330;142,435;0,1516;26,2565;12,437;35,6;100;190;10000000;10000000
331;142,435;0,1516;26,2565;12,437;35,6;100;190;10000000;10000000
332;132,9577;0,1516;26,2565;12,437;35,6;100;190;10000000;10000000
333;130,5654;0,1516;26,2565;12,437;35,6;100;190;10000000;10000000
334;119,0484;0,1516;26,2564;12,437;35,6;100;190;10000000;10000000
335;130,5654;0,1516;26,2564;12,437;35,6;100;190;10000000;10000000
336;106,1353;0,1516;26,2564;12,437;35,6;100;190;10000000;10000000
337;109,934;0,1516;26,2564;12,437;35,6;100;190;10000000;10000000
338;104,7809;0,1516;26,2564;12,437;35,6;100;190;10000000;10000000
339;109,934;0,1516;26,2564;12,437;35,6;100;190;10000000;10000000
340;101,8382;0,1516;26,2563;12,437;35,6;100;190;10000000;10000000
341;103,5653;0,1516;26,2563;12,437;35,6;100;190;10000000;10000000
342;94,9606;0,1516;26,2563;12,4371;35,6;100;190;10000000;10000000
343;109,934;0,1516;26,2563;12,4371;35,6;100;190;10000000;10000000
344;120,2403;0,1516;26,2563;12,4371;35,6;100;190;10000000;10000000
345;109,934;0,1516;26,2563;12,4371;35,6;100;190;10000000;10000000
346;104,7809;0,1516;26,2562;12,4371;35,6;100;190;10000000;10000000
347;104,7809;0,1516;26,2562;12,4371;35,6;100;190;10000000;10000000
348;104,7809;0,1516;26,2562;12,4371;35,6;100;190;10000000;10000000
349;104,7809;0,1516;26,2562;12,4371;35,6;100;190;10000000;10000000
350;106,3624;0,1516;26,2562;12,4371;35,6;100;190;10000000;10000000
351;119,1021;0,1516;26,2562;12,4371;35,6;100;190;10000000;10000000
352;130,5699;0,1516;26,2561;12,4371;35,6;100;190;10000000;10000000
353;130,5699;0,1516;26,2561;12,4371;35,6;100;190;10000000;10000000
354;130,5699;0,1516;26,2561;12,4371;35,6;100;190;10000000;10000000
355;130,5699;0,1516;26,2561;12,4371;35,6;100;190;10000000;10000000
356;129,1854;0,1516;26,2561;12,4371;35,6;100;190;10000000;10000000
357;109,4009;0,1516;26,2561;12,4371;35,6;100;190;10000000;10000000
