;PV_openfield_north;PV_openfield_east;PV_openfield_middle;PV_openfield_swest;PV_rooftop_north;PV_rooftop_east;PV_rooftop_middle;PV_rooftop_swest;Wind_north;Wind_east;Wind_middle;Wind_swest;PV_openfield_north_scaled;PV_openfield_east_scaled;PV_openfield_middle_scaled;PV_openfield_swest_scaled;PV_rooftop_north_scaled;PV_rooftop_east_scaled;PV_rooftop_middle_scaled;PV_rooftop_swest_scaled;Wind_north_scaled;Wind_east_scaled;Wind_middle_scaled;Wind_swest_scaled;Solarthermal;Hydro_power
1637;0;0;0;0;0;0;0;0;0,40927625;0,523137679;0,462973571;0,332904286;0;0;0;0;0;0;0;0;0,388897481;0,498484131;0,448509861;0,341455755;0;0,92
1638;0,012;0,0282;0,0186;0,0073;0,0109;0,0255;0,0169;0,0067;0,356401607;0,514114643;0,436178929;0,327131429;0,010013105;0,022682695;0,014981488;0,005924835;0,009895266;0,022336964;0,014819779;0,005915721;0,338655584;0,489886318;0,422552306;0,335534607;0;0,92
1639;0,0514;0,084;0,0655;0,0385;0,0465;0,0756;0,0591;0,035;0,319830179;0,46399;0,385651607;0,320576071;0,042889466;0,067565474;0,052757391;0,031247418;0,04221375;0,066222528;0,051825382;0,03090302;0,303905127;0,442123865;0,373603504;0,32881086;0;0,92
1640;0,0905;0,1504;0,1203;0,0731;0,0817;0,135;0,1084;0,0662;0,391649286;0,48464125;0,429040714;0,325566071;0,075515499;0,120974372;0,096896399;0,059329514;0,074169104;0,118254515;0,095057045;0,058450854;0,372148203;0,461801897;0,415637096;0,33392904;0;0,92
1641;0,1455;0,1947;0,1626;0,1128;0,1311;0,1746;0,1463;0,1019;0,427808393;0,523453036;0,461354107;0,341486964;0,121408897;0,156607116;0,130967202;0,091550878;0,119015539;0,152942505;0,128291935;0,089971934;0,406506868;0,498784627;0,44694099;0,350258901;0;0,92
1642;0,1888;0,1967;0,2032;0,1627;0,1698;0,1767;0,1825;0,1467;0,417320179;0,497180893;0,453318393;0,408265357;0,157539517;0,158215818;0,16366873;0,132050778;0,154148273;0,15478202;0,160036077;0,129527799;0,396540885;0,473750593;0,439156318;0,418752661;0;0,92
1643;0,1857;0,2104;0,2162;0,1466;0,1671;0,1889;0,194;0,1324;0,412177143;0,473436964;0,471025357;0,484100893;0,154952798;0,169235425;0,174139662;0,118983676;0,151697152;0,165468724;0,170120542;0,116901708;0,391653932;0,451125628;0,456310101;0,49653622;0;0,92
1644;0,1491;0,1893;0,1629;0,105;0,1344;0,1701;0,1467;0,095;0,418249286;0,484790893;0,497161607;0,498836964;0,124412828;0,152263621;0,131208839;0,085220232;0,122011354;0,149000688;0,128642699;0,083879624;0,39742373;0,461944488;0,481629831;0,511650824;0;0,92
1645;0,085;0,1238;0,1063;0,0803;0,0769;0,1116;0,096;0,0728;0,389134107;0,483369464;0,475030714;0,470295357;0,070926159;0,099578639;0,08562001;0,065173187;0,069811556;0,097757065;0,084183361;0,064278281;0,36975826;0,460590046;0,460190327;0,482376055;0;0,92
1646;0,0444;0,065;0,0654;0,0454;0,0403;0,0589;0,0592;0,0413;0,284623571;0,392865714;0,411687857;0,462024286;0,037048488;0,052282807;0,052676845;0,036847605;0,03658525;0,051594007;0,051913073;0,036465563;0,270451535;0,374351404;0,398826358;0,473892521;0;0,92
