;('Biogas_feedin_existing_n', 'Gas_n');('Biogas_feedin_new_n', 'Gas_n');('Gas_n', 'Gas_demand_total_n');('Gas_n', 'Gas_storage_n');('Gas_n', 'GuD_n');('Gas_n', 'Material_demand_Gas_n');('Gas_n', 'excess_b_gas_n');('Gas_storage_n', 'Gas_n');('Hydrogen_feedin_n', 'Gas_n');('Import_Gas_n', 'Gas_n');('Methanisation_n', 'Gas_n')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-09 11:00:00;231,28;0,0;257,91;0,0;120,95;0,22;0,0;0,0;0,0;147,8;0,0
2030-01-09 12:00:00;231,28;0,0;250,21;0,0;120,95;0,22;0,0;0,0;0,0;140,1;0,0
2030-01-09 13:00:00;231,28;0,0;249,13;0,0;120,95;0,22;0,0;0,0;0,0;139,02;0,0
2030-01-09 14:00:00;231,28;0,0;248,95;0,0;120,95;0,22;0,0;0,0;0,0;138,85;0,0
2030-01-09 15:00:00;231,28;0,0;251,98;0,0;120,95;0,22;0,0;0,0;0,0;141,87;0,0
2030-01-09 16:00:00;231,28;0,0;246,75;0,0;120,95;0,22;0,0;0,0;0,0;136,64;0,0
2030-01-09 17:00:00;231,28;0,0;252,04;0,0;120,95;0,22;0,0;0,0;0,0;141,93;0,0
2030-01-09 18:00:00;231,28;0,0;250,56;0,0;120,95;0,22;0,0;0,0;0,0;140,46;0,0
2030-01-09 19:00:00;231,28;0,0;246,72;0,0;120,95;0,22;0,0;0,0;0,0;136,61;0,0
2030-01-09 20:00:00;231,28;0,0;242,08;0,0;120,95;0,22;0,0;0,0;0,0;131,97;0,0
2030-01-09 21:00:00;231,28;0,0;246,97;0,0;120,95;0,22;0,0;0,0;0,0;136,86;0,0
2030-01-09 22:00:00;231,28;0,0;245,18;0,0;120,95;0,22;0,0;0,0;0,0;135,07;0,0
2030-01-09 23:00:00;231,28;0,0;247,75;0,0;120,95;0,22;0,0;0,0;0,0;137,65;0,0
2030-01-10 00:00:00;231,28;0,0;270,22;0,0;120,95;0,22;0,0;0,0;0,0;160,11;0,0
2030-01-10 01:00:00;231,28;0,0;266,18;0,0;120,95;0,22;0,0;0,0;0,0;156,07;0,0
2030-01-10 02:00:00;231,28;0,0;265,61;0,0;120,95;0,22;0,0;0,0;0,0;155,5;0,0
