;('Biogas_e', 'District heating_e');('Biomasse_heat_e', 'District heating_e');('District heating_e', 'Heat storage_e');('District heating_e', 'Heat_demand_total_e');('District heating_e', 'excess_b_distheat_e');('Electric boiler_e', 'District heating_e');('GuD_e', 'District heating_e');('Heat storage_e', 'District heating_e');('Heatpump_air_e', 'District heating_e');('Heatpump_water_e', 'District heating_e');('ST_e', 'District heating_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-08 12:00:00;0,0;0,0;0,0;136,54;0,0;0,0;94,55;41,98;0,0;0,0;0,0
2030-01-08 13:00:00;0,0;0,0;0,0;137,87;0,0;0,0;94,55;43,32;0,0;0,0;0,0
2030-01-08 14:00:00;0,0;0,0;0,0;141,12;0,0;0,0;94,55;46,56;0,0;0,0;0,0
2030-01-08 15:00:00;0,0;0,0;0,0;141,97;0,0;0,0;94,55;47,42;0,0;0,0;0,0
2030-01-08 16:00:00;0,0;0,0;0,0;138,74;0,0;0,0;94,55;44,19;0,0;0,0;0,0
2030-01-08 17:00:00;0,0;0,0;0,0;138,84;0,0;0,0;94,55;44,29;0,0;0,0;0,0
2030-01-08 18:00:00;0,0;0,0;0,0;140,06;0,0;0,0;94,55;45,51;0,0;0,0;0,0
2030-01-08 19:00:00;0,0;0,0;0,0;142,26;0,0;0,0;94,55;47,71;0,0;0,0;0,0
2030-01-08 20:00:00;0,0;0,0;0,0;142,63;0,0;0,0;94,55;48,08;0,0;0,0;0,0
2030-01-08 21:00:00;0,0;0,0;0,0;144,16;0,0;0,0;94,55;49,61;0,0;0,0;0,0
2030-01-08 22:00:00;0,0;0,0;0,0;145,37;0,0;0,0;94,55;50,82;0,0;0,0;0,0
2030-01-08 23:00:00;0,0;0,0;0,0;147,03;0,0;0,0;94,55;52,47;0,0;0,0;0,0
2030-01-09 00:00:00;0,0;0,0;0,0;148,75;0,0;0,0;94,55;54,19;0,0;0,0;0,0
2030-01-09 01:00:00;0,0;0,0;0,0;150,53;0,0;0,0;94,55;55,97;0,0;0,0;0,0
2030-01-09 02:00:00;0,0;0,0;0,0;152,35;0,0;0,0;94,55;57,8;0,0;0,0;0,0
2030-01-09 03:00:00;0,0;0,0;0,0;153,8;0,0;0,0;94,55;59,25;0,0;0,0;0,0
2030-01-09 04:00:00;0,0;0,0;0,0;154,82;0,0;0,0;94,55;60,27;0,0;0,0;0,0
2030-01-09 05:00:00;0,0;0,0;0,0;155,78;0,0;0,0;94,55;61,22;0,0;0,0;0,0
2030-01-09 06:00:00;0,0;0,0;0,0;156,67;0,0;0,0;94,55;62,12;0,0;0,0;0,0
2030-01-09 07:00:00;0,0;0,0;0,0;158,2;0,0;0,0;94,55;63,65;0,0;0,0;0,0
2030-01-09 08:00:00;0,0;0,0;0,0;158,39;0,0;0,0;94,55;63,83;0,0;0,0;0,0
2030-01-09 09:00:00;0,0;0,0;0,0;151,98;0,0;0,0;94,55;57,43;0,0;0,0;0,0
2030-01-09 10:00:00;0,0;0,0;0,0;142,88;0,0;0,0;94,55;48,33;0,0;0,0;0,0
2030-01-09 11:00:00;0,0;0,0;0,0;132,49;0,0;0,0;94,55;37,93;0,0;0,0;0,0
2030-01-09 12:00:00;0,0;0,0;0,0;123,97;0,0;0,0;94,55;29,41;0,0;0,0;0,0
2030-01-09 13:00:00;0,0;0,0;0,0;120,43;0,0;0,0;94,55;25,88;0,0;0,0;0,0
2030-01-09 14:00:00;0,0;0,0;0,0;121,22;0,0;0,0;94,55;26,67;0,0;0,0;0,0
2030-01-09 15:00:00;0,0;0,0;0,0;123,61;0,0;0,0;94,55;29,06;0,0;0,0;0,0
2030-01-09 16:00:00;0,0;0,0;0,0;124,34;0,0;0,0;94,55;29,79;0,0;0,0;0,0
2030-01-09 17:00:00;0,0;0,0;0,0;127,09;0,0;0,0;94,55;32,53;0,0;0,0;0,0
2030-01-09 18:00:00;0,0;0,0;0,0;130,82;0,0;0,0;94,55;36,26;0,0;0,0;0,0
2030-01-09 19:00:00;0,0;0,0;0,0;134,86;0,0;0,0;94,55;40,31;0,0;0,0;0,0
2030-01-09 20:00:00;0,0;0,0;0,0;139,17;0,0;0,0;94,55;44,62;0,0;0,0;0,0
2030-01-09 21:00:00;0,0;0,0;0,0;143,28;0,0;0,0;94,55;48,72;0,0;0,0;0,0
2030-01-09 22:00:00;0,0;0,0;0,0;147,91;0,0;0,0;94,55;53,36;0,0;0,0;0,0
2030-01-09 23:00:00;0,0;0,0;0,0;152,69;0,0;0,0;94,55;58,14;0,0;0,0;0,0
2030-01-10 00:00:00;0,0;0,0;0,0;158,41;0,0;0,0;94,55;63,86;0,0;0,0;0,0
2030-01-10 01:00:00;0,0;0,0;0,0;164,33;0,0;0,0;94,55;69,78;0,0;0,0;0,0
2030-01-10 02:00:00;0,0;0,0;0,0;170,4;0,0;0,0;94,55;75,85;0,0;0,0;0,0
2030-01-10 03:00:00;0,0;0,0;0,0;174,55;0,0;0,0;94,55;79,99;0,0;0,0;0,0
2030-01-10 04:00:00;0,0;0,0;0,0;178,54;0,0;0,0;94,55;83,99;0,0;0,0;0,0
