;('Biogas_s', 'District heating_s');('Biomasse_heat_s', 'District heating_s');('District heating_s', 'Heat storage_s');('District heating_s', 'Heat_demand_total_s');('District heating_s', 'excess_b_distheat_s');('Electric boiler_s', 'District heating_s');('GuD_s', 'District heating_s');('Heat storage_s', 'District heating_s');('Heatpump_air_s', 'District heating_s');('Heatpump_water_s', 'District heating_s');('ST_s', 'District heating_s')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-08 20:00:00;0,0;0,0;9,27;54,93;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 21:00:00;0,0;0,0;9,04;55,16;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 22:00:00;0,0;0,0;8,79;55,42;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-08 23:00:00;0,0;0,0;0,0;55,94;0,0;0,0;27,0;28,94;0,0;0,0;0,0
2030-01-09 00:00:00;0,0;0,0;0,0;56,51;0,0;0,0;18,23;38,28;0,0;0,0;0,0
2030-01-09 01:00:00;0,0;0,0;0,0;57,12;0,0;0,0;17,07;40,05;0,0;0,0;0,0
2030-01-09 02:00:00;0,0;0,0;0,0;58,0;0,0;0,0;13,87;44,13;0,0;0,0;0,0
2030-01-09 03:00:00;0,0;0,0;0,0;58,46;0,0;0,0;8,16;50,3;0,0;0,0;0,0
2030-01-09 04:00:00;0,0;0,0;0,0;59,14;0,0;0,0;4,97;54,17;0,0;0,0;0,0
2030-01-09 05:00:00;0,0;0,0;0,0;59,6;0,0;0,0;0,0;59,6;0,0;0,0;0,0
2030-01-09 06:00:00;0,0;0,0;0,0;60,05;0,0;0,0;0,0;60,05;0,0;0,0;0,0
2030-01-09 07:00:00;0,0;0,0;0,0;61,12;0,0;0,0;0,0;61,12;0,0;0,0;0,0
2030-01-09 08:00:00;0,0;0,0;0,0;62,16;0,0;0,0;0,0;62,16;0,0;0,0;0,0
2030-01-09 09:00:00;0,0;0,0;0,41;63,79;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-09 10:00:00;0,0;0,0;0,0;63,93;0,0;0,0;33,99;29,94;0,0;0,0;0,0
2030-01-09 11:00:00;0,0;0,0;0,0;62,39;0,0;0,0;12,28;50,11;0,0;0,0;0,0
2030-01-09 12:00:00;0,0;0,0;2,57;61,63;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-09 13:00:00;0,0;0,0;0,0;62,35;0,0;0,0;5,22;57,14;0,0;0,0;0,0
2030-01-09 14:00:00;0,0;0,0;0,0;64,2;0,0;0,0;28,8;35,41;0,0;0,0;0,0
2030-01-09 15:00:00;0,0;0,0;0,0;64,9;0,0;0,0;64,2;0,7;0,0;0,0;0,0
2030-01-09 16:00:00;0,0;0,0;0,95;63,25;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-09 17:00:00;0,0;0,0;2,06;62,14;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-09 18:00:00;0,0;0,0;2,19;62,01;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-09 19:00:00;0,0;0,0;3,01;61,19;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-09 20:00:00;0,0;0,0;2,71;61,49;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-09 21:00:00;0,0;0,0;4,46;59,74;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-09 22:00:00;0,0;0,0;5,2;59,0;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-09 23:00:00;0,0;0,0;5,95;58,25;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-10 00:00:00;0,0;0,0;6,47;57,73;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-10 01:00:00;0,0;0,0;6,96;57,24;0,0;0,0;64,2;0,0;0,0;0,0;0,0
