;('Import_Oil_n', 'Oil_fuel_n');('Import_Synthetic_fuel_n', 'Oil_fuel_n');('Oil_fuel_n', 'Material_demand_Oil_n');('Oil_fuel_n', 'Mobility_demand_total_n');('Oil_fuel_n', 'Oil_demand_total_n');('Oil_fuel_n', 'excess_b_oil_fuel_n');('PtL_n', 'Oil_fuel_n')
;flow;flow;flow;flow;flow;flow;flow
2030-01-09 00:00:00;318,7;0,0;15,8;265,84;37,06;0,0;0,0
2030-01-09 01:00:00;319,25;0,0;15,8;265,84;37,61;0,0;0,0
2030-01-09 02:00:00;319,51;0,0;15,8;265,84;37,87;0,0;0,0
2030-01-09 03:00:00;319,95;0,0;15,8;265,84;38,3;0,0;0,0
2030-01-09 04:00:00;320,23;0,0;15,8;265,84;38,59;0,0;0,0
2030-01-09 05:00:00;320,52;0,0;15,8;265,84;38,87;0,0;0,0
2030-01-09 06:00:00;320,8;0,0;15,8;265,84;39,16;0,0;0,0
2030-01-09 07:00:00;321,53;0,0;15,8;265,84;39,89;0,0;0,0
2030-01-09 08:00:00;322,26;0,0;15,8;265,84;40,62;0,0;0,0
2030-01-09 09:00:00;323,41;0,0;15,8;265,84;41,76;0,0;0,0
2030-01-09 10:00:00;323,32;0,0;15,8;265,84;41,68;0,0;0,0
2030-01-09 11:00:00;322,18;0,0;15,8;265,84;40,54;0,0;0,0
2030-01-09 12:00:00;321,61;0,0;15,8;265,84;39,97;0,0;0,0
2030-01-09 13:00:00;322,11;0,0;15,8;265,84;40,47;0,0;0,0
2030-01-09 14:00:00;323,42;0,0;15,8;265,84;41,77;0,0;0,0
2030-01-09 15:00:00;323,73;0,0;15,8;265,84;42,09;0,0;0,0
2030-01-09 16:00:00;322,35;0,0;15,8;265,84;40,7;0,0;0,0
2030-01-09 17:00:00;321,68;0,0;15,8;265,84;40,03;0,0;0,0
2030-01-09 18:00:00;321,05;0,0;15,8;265,84;39,41;0,0;0,0
2030-01-09 19:00:00;320,56;0,0;15,8;265,84;38,92;0,0;0,0
2030-01-09 20:00:00;320,06;0,0;15,8;265,84;38,41;0,0;0,0
2030-01-09 21:00:00;319,71;0,0;15,8;265,84;38,07;0,0;0,0
2030-01-09 22:00:00;318,87;0,0;15,8;265,84;37,23;0,0;0,0
2030-01-09 23:00:00;318,15;0,0;15,8;265,84;36,51;0,0;0,0
2030-01-10 00:00:00;317,58;0,0;15,8;265,84;35,93;0,0;0,0
2030-01-10 01:00:00;317,01;0,0;15,8;265,84;35,36;0,0;0,0
2030-01-10 02:00:00;316,44;0,0;15,8;265,84;34,8;0,0;0,0
2030-01-10 03:00:00;316,05;0,0;15,8;265,84;34,41;0,0;0,0
2030-01-10 04:00:00;315,51;0,0;15,8;265,84;33,87;0,0;0,0
2030-01-10 05:00:00;315,14;0,0;15,8;265,84;33,49;0,0;0,0
2030-01-10 06:00:00;314,95;0,0;15,8;265,84;33,31;0,0;0,0
2030-01-10 07:00:00;314,75;0,0;15,8;265,84;33,1;0,0;0,0
2030-01-10 08:00:00;315,01;0,0;15,8;265,84;33,37;0,0;0,0
2030-01-10 09:00:00;314,71;0,0;15,8;265,84;33,06;0,0;0,0
2030-01-10 10:00:00;312,73;0,0;15,8;265,84;31,09;0,0;0,0
