,"(('BioHolz', 'BioTransformer'), 'flow')","(('BioHolz', 'Biomasse_Strom'), 'flow')","(('BioHolz', 'Biomasse_Waerme'), 'flow')","(('Import_Holz', 'BioHolz'), 'flow')"
2030-01-10 06:00:00,"1764,967472251873","0,0","0,0","1764,967472251873"
2030-01-10 07:00:00,"1882,021492333322","0,0","0,0","1882,021492333322"
2030-01-10 08:00:00,"1911,155896600174","0,0","0,0","1911,155896600174"
2030-01-10 09:00:00,"1890,5020332516451","0,0","0,0","1890,5020332516451"
2030-01-10 10:00:00,"1830,6390170560048","0,0","0,0","1830,6390170560048"
2030-01-10 11:00:00,"1791,3040429501534","0,0","0,0","1791,3040429501534"
2030-01-10 12:00:00,"1731,4887627309317","0,0","0,0","1731,4887627309317"
2030-01-10 13:00:00,"1653,4094944493095","0,0","0,0","1653,4094944493095"
2030-01-10 14:00:00,"1657,5031662178126","0,0","0,0","1657,5031662178126"
2030-01-10 15:00:00,"1607,282566868635","0,0","0,0","1607,282566868635"
2030-01-10 16:00:00,"1579,2303258375696","0,0","0,0","1579,2303258375696"
2030-01-10 17:00:00,"1562,4449428604785","0,0","0,0","1562,4449428604785"
2030-01-10 18:00:00,"1501,1224184907064","0,0","0,0","1501,1224184907064"
2030-01-10 19:00:00,"1399,0729821168661","0,0","0,0","1399,0729821168661"
2030-01-10 20:00:00,"1289,5208850209692","0,0","0,0","1289,5208850209692"
2030-01-10 21:00:00,"1199,245511571301","0,0","0,0","1199,245511571301"
2030-01-10 22:00:00,"1103,9069919032186","0,0","0,0","1103,9069919032186"
2030-01-10 23:00:00,"975,7037512240857","0,0","0,0","975,7037512240857"
2030-01-11 00:00:00,"887,5949266912374","0,0","0,0","887,5949266912374"
2030-01-11 01:00:00,"893,2453005983144","0,0","0,0","893,2453005983144"
2030-01-11 02:00:00,"906,2778687947234","0,0","0,0","906,2778687947234"
2030-01-11 03:00:00,"954,9405366731288","0,0","0,0","954,9405366731288"
2030-01-11 04:00:00,"1093,898916282535","0,0","0,0","1093,898916282535"
2030-01-11 05:00:00,"1444,1495926209805","0,0","0,0","1444,1495926209805"
2030-01-11 06:00:00,"1677,6219951214898","0,0","0,0","1677,6219951214898"
2030-01-11 07:00:00,"1785,2261665194328","0,0","0,0","1785,2261665194328"
2030-01-11 08:00:00,"1812,9584619905577","0,0","0,0","1812,9584619905577"
2030-01-11 09:00:00,"1793,8654939160479","0,0","0,0","1793,8654939160479"
2030-01-11 10:00:00,"1737,987506133552","0,0","0,0","1737,987506133552"
2030-01-11 11:00:00,"1700,725953680775","0,0","0,0","1700,725953680775"
2030-01-11 12:00:00,"1645,3516074611066","0,0","0,0","1645,3516074611066"
2030-01-11 13:00:00,"1572,9183638216332","0,0","0,0","1572,9183638216332"
2030-01-11 14:00:00,"1576,2944737758658","0,0","0,0","1576,2944737758658"
2030-01-11 15:00:00,"1528,1263913134317","0,0","0,0","1528,1263913134317"
2030-01-11 16:00:00,"1502,2097080275462","0,0","0,0","1502,2097080275462"
2030-01-11 17:00:00,"1484,9426560010643","0,0","0,0","1484,9426560010643"
2030-01-11 18:00:00,"1426,320577637448","0,0","0,0","1426,320577637448"
2030-01-11 19:00:00,"1330,5594639421993","0,0","0,0","1330,5594639421993"
2030-01-11 20:00:00,"1228,2276697546413","0,0","0,0","1228,2276697546413"
2030-01-11 21:00:00,"1141,8151618546258","0,0","0,0","1141,8151618546258"
2030-01-11 22:00:00,"1049,4713061751272","0,0","0,0","1049,4713061751272"
2030-01-11 23:00:00,"927,1655751731447","0,0","0,0","927,1655751731447"
2030-01-12 00:00:00,"686,3196537642901","0,0","0,0","686,3196537642901"
2030-01-12 01:00:00,"702,2417397753562","0,0","0,0","702,2417397753562"
2030-01-12 02:00:00,"720,3097505954244","0,0","0,0","720,3097505954244"
2030-01-12 03:00:00,"757,2580185339199","0,0","0,0","757,2580185339199"
2030-01-12 04:00:00,"895,8726410158375","0,0","0,0","895,8726410158375"
2030-01-12 05:00:00,"1171,166503050586","0,0","0,0","1171,166503050586"
2030-01-12 06:00:00,"1353,779393460351","0,0","0,0","1353,779393460351"
2030-01-12 07:00:00,"1449,7639102119992","0,0","0,0","1449,7639102119992"
2030-01-12 08:00:00,"1466,0173418088825","0,0","0,0","1466,0173418088825"
2030-01-12 09:00:00,"1432,8462457049714","0,0","0,0","1432,8462457049714"
2030-01-12 10:00:00,"1387,627560433763","0,0","0,0","1387,627560433763"
2030-01-12 11:00:00,"1338,7402986762809","0,0","0,0","1338,7402986762809"
2030-01-12 12:00:00,"1299,967202745774","0,0","0,0","1299,967202745774"
2030-01-12 13:00:00,"1266,6862722699743","0,0","0,0","1266,6862722699743"
2030-01-12 14:00:00,"1257,7536627975423","0,0","0,0","1257,7536627975423"
2030-01-12 15:00:00,"1233,4693041447927","0,0","0,0","1233,4693041447927"
2030-01-12 16:00:00,"1236,2509690033999","0,0","0,0","1236,2509690033999"
2030-01-12 17:00:00,"1215,9686977364709","0,0","0,0","1215,9686977364709"
2030-01-12 18:00:00,"1181,520311602911","0,0","0,0","1181,520311602911"
2030-01-12 19:00:00,"1104,87259236087","0,0","0,0","1104,87259236087"
2030-01-12 20:00:00,"1028,1746842151674","0,0","0,0","1028,1746842151674"
2030-01-12 21:00:00,"945,6514842203072","0,0","0,0","945,6514842203072"
2030-01-12 22:00:00,"845,0829352823732","0,0","0,0","845,0829352823732"
2030-01-12 23:00:00,"743,9804339362211","0,0","0,0","743,9804339362211"
2030-01-13 00:00:00,"510,04784877065504","0,0","0,0","510,04784877065504"
2030-01-13 01:00:00,"524,8820454634937","0,0","0,0","524,8820454634937"
2030-01-13 02:00:00,"532,9182089103468","0,0","0,0","532,9182089103468"
2030-01-13 03:00:00,"561,3232081160091","0,0","0,0","561,3232081160091"
2030-01-13 04:00:00,"689,4302437050906","0,0","0,0","689,4302437050906"
2030-01-13 05:00:00,"900,2252190938117","0,0","0,0","900,2252190938117"
2030-01-13 06:00:00,"1038,479330586034","0,0","0,0","1038,479330586034"
2030-01-13 07:00:00,"1102,3680063517913","0,0","0,0","1102,3680063517913"
2030-01-13 08:00:00,"1111,3635045904966","0,0","0,0","1111,3635045904966"
2030-01-13 09:00:00,"1060,30714034206","0,0","0,0","1060,30714034206"
2030-01-13 10:00:00,"1017,3991876866395","0,0","0,0","1017,3991876866395"
2030-01-13 11:00:00,"984,7844209201547","0,0","0,0","984,7844209201547"
2030-01-13 12:00:00,"958,1740814171013","0,0","0,0","958,1740814171013"
2030-01-13 13:00:00,"931,4981289215563","0,0","0,0","931,4981289215563"
2030-01-13 14:00:00,"923,1129182711796","0,0","0,0","923,1129182711796"
2030-01-13 15:00:00,"898,8164481128729","0,0","0,0","898,8164481128729"
2030-01-13 16:00:00,"905,8902892880624","0,0","0,0","905,8902892880624"
2030-01-13 17:00:00,"898,9289149449393","0,0","0,0","898,9289149449393"
2030-01-13 18:00:00,"870,3762398520644","0,0","0,0","870,3762398520644"
2030-01-13 19:00:00,"841,5334915159914","0,0","0,0","841,5334915159914"
2030-01-13 20:00:00,"798,0990398804315","0,0","0,0","798,0990398804315"
2030-01-13 21:00:00,"731,9179186641419","0,0","0,0","731,9179186641419"
2030-01-13 22:00:00,"637,4833590060318","0,0","0,0","637,4833590060318"
2030-01-13 23:00:00,"564,1957290996033","0,0","0,0","564,1957290996033"
2030-01-14 00:00:00,"403,5249489753267","0,0","0,0","403,5249489753267"
2030-01-14 01:00:00,"397,1360245480198","0,0","0,0","397,1360245480198"
2030-01-14 02:00:00,"412,62770189387834","0,0","0,0","412,62770189387834"
2030-01-14 03:00:00,"441,0467370986013","0,0","0,0","441,0467370986013"
2030-01-14 04:00:00,"558,359155894848","0,0","0,0","558,359155894848"
2030-01-14 05:00:00,"764,3909907485507","0,0","0,0","764,3909907485507"
2030-01-14 06:00:00,"925,4370754971377","0,0","0,0","925,4370754971377"
2030-01-14 07:00:00,"934,3423833531996","0,0","0,0","934,3423833531996"
2030-01-14 08:00:00,"894,8139148475515","0,0","0,0","894,8139148475515"
2030-01-14 09:00:00,"860,1881639636307","0,0","0,0","860,1881639636307"
2030-01-14 10:00:00,"818,107420309451","0,0","0,0","818,107420309451"
2030-01-14 11:00:00,"787,9278482016254","0,0","0,0","787,9278482016254"
2030-01-14 12:00:00,"767,7458166535421","0,0","0,0","767,7458166535421"
2030-01-14 13:00:00,"749,8780217828167","0,0","0,0","749,8780217828167"
2030-01-14 14:00:00,"726,4810387247691","0,0","0,0","726,4810387247691"
2030-01-14 15:00:00,"697,4697690330977","0,0","0,0","697,4697690330977"
2030-01-14 16:00:00,"689,4229090647781","0,0","0,0","689,4229090647781"
2030-01-14 17:00:00,"667,868130219499","0,0","0,0","667,868130219499"
2030-01-14 18:00:00,"663,1530486410485","0,0","0,0","663,1530486410485"
2030-01-14 19:00:00,"666,4091790471629","0,0","0,0","666,4091790471629"
2030-01-14 20:00:00,"647,5889271231997","0,0","0,0","647,5889271231997"
2030-01-14 21:00:00,"610,2181895766065","0,0","0,0","610,2181895766065"
2030-01-14 22:00:00,"517,5177410459982","0,0","0,0","517,5177410459982"
2030-01-14 23:00:00,"444,1922699627105","0,0","0,0","444,1922699627105"
